,ph,Hardness,Solids,Conductivity,Turbidity,Sulphide,Ammonia,potability_score
0,7.080794504276835,204.8904554713363,20791.318980747023,564.3086541722439,2.9631353806316407,3.6e-05,7.266694506292025,92.739
1,3.71608007538699,129.42292051494425,18630.057857970347,592.8853591348523,4.500656274942408,0.0,0.5679950256168445,95.362
2,8.099124189298397,224.23625939355776,19909.541732292397,418.6062130644815,3.0559337496641685,0.000588,9.271783765603145,91.966
3,8.316765884214679,214.3733940856225,22018.41744077529,363.2665161642437,4.628770536837084,0.00107,8.057173915729228,91.975
4,9.092223456290965,181.10150923612525,17978.98633892625,398.4108133818447,4.075075425430034,0.005774,6.546305870613672,93.286
5,5.584086638456089,188.3133237696164,28748.68773904612,280.4679159334877,2.5597082275565217,0.0,6.590801341756123,91.26
6,10.223862164528772,248.07173527013992,28749.716543528237,283.6516335078445,2.672988736934779,0.099817,7.513383537059087,90.522
7,8.635848718500734,203.3615225845705,13672.091763901635,474.6076449424485,4.401424715445482,0.001944,4.562422447187061,94.991
8,7.080794504276835,118.98857909025187,14285.583854224516,389.3755658712614,3.5950171809576155,2.6e-05,7.768342353538499,93.873
9,11.180284470721592,227.23146923797455,25484.50849098786,563.8854814810949,4.370561936655497,0.911267,9.077196687293636,89.742
10,7.360640105838258,165.52079725952862,32452.614409143884,425.3834194953873,3.662291782852457,7.8e-05,7.532460930106515,90.271
11,7.974521648923869,218.69330048866644,18767.65668181348,364.0982304620487,4.011718108339787,0.00043,8.105609301711233,92.668
12,7.119824384264552,156.70499334039215,18730.813653342717,347.71502726194376,3.445756223321899,3.2e-05,3.590896782229445,94.644
13,7.080794504276835,150.1749233951362,27331.36196192776,379.7618348257725,4.413974182974902,2.9e-05,6.80682722507943,91.623
14,7.49623220797336,205.34498215818516,28388.00488673697,444.6453523327066,4.777382337225378,0.000119,5.063584449937671,92.014
15,6.347271760539316,186.73288066057611,41065.23476453935,516.743281893657,4.376348290691898,2e-06,9.394983448904998,87.73
